Choice,FishCh,PrevChoice,PrevFish,PrevReward,PrevdComp,PrevdRel,IsCompSwitch,IsRelSwitch,Trial
1,3,1,3,1,0.362701665379258,0.15,0,0,200
1,3,1,3,1,0.362701665379258,0.15,0,0,201
1,3,1,3,1,0.362701665379258,0.15,0,0,202
1,3,1,3,1,0.362701665379258,0.15,0,0,203
1,3,1,3,1,0.362701665379258,0.15,0,0,204
1,3,1,3,1,0.362701665379258,0.15,0,0,205
1,3,1,3,1,0.362701665379258,0.15,0,0,206
1,0,1,3,1,0.362701665379258,0.15,1,0,207
1,2,1,0,0,-0.55,0.15,0,0,208
1,0,1,2,0,-0.55,0.15,0,0,209
1,2,1,0,0,-0.55,0.15,0,0,210
1,0,1,2,0,-0.55,0.15,0,0,211
1,3,1,0,0,-0.55,0.15,0,0,212
1,0,1,3,1,-0.55,0.15,0,0,213
1,0,1,0,0,-0.55,0.15,0,0,214
1,2,1,0,0,-0.55,0.15,0,0,215
1,0,1,2,0,-0.55,0.15,0,0,216
1,2,1,0,0,-0.55,0.15,0,0,217
1,0,1,2,0,-0.55,0.15,0,0,218
1,3,1,0,0,-0.55,0.15,0,0,219
1,3,1,3,1,-0.55,0.15,0,0,220
1,1,1,3,0,-0.55,0.15,0,1,221
1,2,1,1,0,-0.55,-0.15,0,0,222
0,3,1,2,0,-0.55,-0.15,0,0,223
0,3,0,3,1,-0.55,-0.15,0,0,224
0,3,0,3,1,-0.55,-0.15,0,0,225
0,3,0,3,1,-0.55,-0.15,0,0,226
0,3,0,3,1,-0.55,-0.15,0,0,227
0,3,0,3,1,-0.55,-0.15,0,0,228
0,1,0,3,1,-0.55,-0.15,1,0,229
1,2,0,1,0,0.187298334620742,-0.15,0,0,230
1,3,1,2,1,0.187298334620742,-0.15,0,0,231
1,3,1,3,0,0.187298334620742,-0.15,0,0,232
1,2,1,3,0,0.187298334620742,-0.15,0,0,233
1,1,1,2,0,0.187298334620742,-0.15,0,0,234
1,2,1,1,0,0.187298334620742,-0.15,0,0,235
1,3,1,2,0,0.187298334620742,-0.15,0,0,236
1,1,1,3,1,0.187298334620742,-0.15,0,0,237
1,1,1,1,0,0.187298334620742,-0.15,0,0,238
1,0,1,1,0,0.187298334620742,-0.15,0,0,239
1,2,1,0,0,0.187298334620742,-0.15,0,0,240
1,2,1,2,1,0.187298334620742,-0.15,0,0,241
1,1,1,2,0,0.187298334620742,-0.15,0,0,242
1,3,1,1,0,0.187298334620742,-0.15,0,0,243
1,3,1,3,1,0.187298334620742,-0.15,0,0,244
1,1,1,3,0,0.187298334620742,-0.15,1,0,245
1,1,1,1,0,-0.108982566249368,-0.15,0,0,246
1,2,1,1,0,-0.108982566249368,-0.15,0,0,247
1,1,1,2,0,-0.108982566249368,-0.15,0,0,248
1,0,1,1,0,-0.108982566249368,-0.15,0,0,249
1,2,1,0,0,-0.108982566249368,-0.15,0,0,250
1,1,1,2,0,-0.108982566249368,-0.15,0,0,251
1,2,1,1,1,-0.108982566249368,-0.15,0,0,252
1,1,1,2,0,-0.108982566249368,-0.15,0,1,253
0,3,1,1,1,-0.108982566249368,0.15,0,0,254
0,3,0,3,0,-0.108982566249368,0.15,0,0,255
1,0,0,3,0,-0.108982566249368,0.15,0,0,256
1,1,1,0,0,-0.108982566249368,0.15,0,0,257
1,2,1,1,1,-0.108982566249368,0.15,0,0,258
1,1,1,2,0,-0.108982566249368,0.15,0,0,259
0,1,1,1,0,-0.108982566249368,0.15,0,0,260
0,3,0,1,0,-0.108982566249368,0.15,0,0,261
